,ClimTrace_GSAT_DecadalMean,ClimTrace_GSAT_DecadalMean_1sigma,ClimTrace_GSAT_DecadalDerivative,ClimTrace_GSAT_DecadalDerivative_1sigma
1950,0.24775663496278066,0.0613535636748615,,
1951,0.24793067363140914,0.05525614431844303,,
1952,0.24810471230003764,0.05804705625825736,,
1953,0.24827875096866608,0.056647915310657035,,
1954,0.2484527896372946,0.05566853921677537,,
1955,0.24862682830592306,0.05337044029251875,,
1956,0.24880086697455153,0.051046751386796554,,
1957,0.24917849258296787,0.04905407238399985,,
1958,0.24979700962906928,0.04708954463232015,,
1959,0.25058102200843385,0.04549120469463934,,
1960,0.25141482874915466,0.04453920891881617,0.0019299463523322576,0.002513743598058369
1961,0.252259610522082,0.04360431362793217,0.0024305120916364013,0.002497265850872055
1962,0.2534214585920848,0.04221134348028835,0.003083572748301812,0.002455423233737686
1963,0.25528217993580127,0.04133507052008919,0.003731204043437482,0.002434048480026248
1964,0.2580598325796108,0.04086958427401509,0.004445645490637514,0.0024160761434404918
1965,0.26193682708671523,0.04017133745924058,0.005220465576390036,0.0024293521536724377
1966,0.26694741605419986,0.039693481693541935,0.006048899622220489,0.0024780612879394845
1967,0.27309652475664803,0.04011383058302426,0.006923876021659994,0.0025731294154641778
1968,0.28034196766060837,0.040760784744277544,0.007837576979062446,0.002716669206426531
1969,0.2887195889589536,0.041656364254009,0.008779887487313962,0.002903848085201658
1970,0.2982664740408728,0.04287253879734036,0.00973710981020148,0.003092104630099829
1971,0.3090215974267088,0.043754340025592156,0.010692358413868761,0.003246034805387872
1972,0.32061137614757595,0.04420498668794999,0.011627305173336617,0.0033465916414578433
1973,0.33320172316124186,0.04431769874168555,0.012524861588222792,0.0034038623429491024
1974,0.3464901088646416,0.04414917448155617,0.013371962364232683,0.0034207019345505
1975,0.3605308111985172,0.04423197144226125,0.01416020702312101,0.0034275890558897537
1976,0.3754720478569752,0.04425206221389289,0.014883820400615774,0.0034406424784067372
1977,0.39147906372989977,0.04419555008406126,0.015537704309717829,0.003459514902658791
1978,0.4084305551561713,0.044348959661844926,0.016116216738260226,0.003474809552763069
1979,0.4263074826915158,0.04457640248247075,0.016612855194595925,0.0034859243117200357
1980,0.44478980661887313,0.04449442459513687,0.017021958051879414,0.003484565423440472
1981,0.4634760547365818,0.044676922716262814,0.01734191373137477,0.0034728623679811483
1982,0.48201466298803347,0.04510243360093384,0.017577206756130188,0.003457155140366243
1983,0.5003533542427007,0.04492310246911144,0.01773788001165953,0.0034166188304503914
1984,0.518614919407493,0.04444487153183106,0.01783762676193756,0.003351647729039075
1985,0.5371922076474217,0.04374451243108353,0.017890950574659042,0.003264387064173091
1986,0.5561968298524309,0.04316117618296025,0.01791053668839812,0.0031673879807000483
1987,0.5752422696819878,0.04256473746644405,0.017905637674951302,0.003072861180573565
1988,0.5935432952095013,0.04233191741428226,0.01788202667076277,0.0029840661572302345
1989,0.6110680812456394,0.04203165008346441,0.017843079410245193,0.002888154461943934
1990,0.6276908223247727,0.041463141726309695,0.0177917627160842,0.002781412671016415
1991,0.6437126908385387,0.04075552338924712,0.017732660589196945,0.0026645025135155513
1992,0.6598507258587913,0.03985103743141784,0.017673300297355712,0.0025372834137532357
1993,0.6766125452715894,0.03894537731971435,0.017624961749713848,0.00242578184759815
1994,0.6944673982622687,0.03825599429988645,0.017602712777172395,0.0023433080682675627
1995,0.7132099834463242,0.038086989218705646,0.017623503758479837,0.002294040533374734
1996,0.732257528986465,0.03813689242601008,0.01770173552258057,0.002265088846100163
1997,0.7509028044546839,0.03803106721780658,0.0178449183603081,0.0022339965013119766
1998,0.7689149899022428,0.0378415697350281,0.018052211069353723,0.002200240162781748
1999,0.7861837362444185,0.03786365096219714,0.018314973672854534,0.002159727285479939
2000,0.8027300589002065,0.037859964527030485,0.01862028769265865,0.0021215674763686567
2001,0.8191011919790757,0.037571316300060366,0.018956789388111645,0.0020902705199102234
2002,0.8359019784927634,0.03757665050657553,0.019319435340229514,0.002073759054989734
2003,0.8538038562584065,0.03794968713136367,0.01971044152363304,0.0020713033142857216
2004,0.8730475556860163,0.03845785153224972,0.020136764769614197,0.002101646455505465
2005,0.8936081389922199,0.03908926659850305,0.020604798695112468,0.002168710314807319
2006,0.9153422555371884,0.03987442881004982,0.02111563964080227,0.0022593865118396214
2007,0.9380156643693128,0.040886131423701864,0.021662882282079726,0.0023507260381590194
2008,0.9610015251948288,0.041632695115490434,0.022232165753650383,0.002434752077528357
2009,0.9837691268707462,0.04206790523868762,0.022803569057904836,0.0024950376275414817
2010,1.0065872105405762,0.042495489888283014,0.023356258707606457,0.0025308264254662073
2011,1.0297084344500174,0.04299122182368496,0.023872724975824714,0.0025584757871049807
2012,1.05359957764179,0.043628583283459275,0.02434218415819254,0.002584806291904402
2013,1.0783957002123574,0.044479340506719874,0.024769030394135846,0.002613397711649483
2014,1.1033612363198375,0.04447958907778086,0.025162041820824294,0.0026600329506095226
2015,1.1287086139054876,0.044483317477015054,0.02553271335047601,0.002728620903438227
2016,1.1544215823401462,0.04449947026391609,0.025893223518841456,0.0028113544751778518
2017,1.1804950609431704,0.04454292942189189,0.026253733687206904,0.0029203550268470263
2018,1.20692904971456,0.04463442748156785,0.026614243855572352,0.0030553875032520482
2019,1.233723548654315,0.044800331266805056,0.0269747540239378,0.0032082019743036707
2020,1.2608664829613758,0.04507221008288297,0.027311114590184066,0.0033826640262546548
2021,1.288312788864697,0.04548609683240929,0.02758149721645815,0.0035733979410639003
2022,1.3159844136232466,0.04608136936206267,0.027761752300640874,0.0037779400074608215
2023,1.343791229694933,0.046899231198671676,0.027851879842732234,0.003994169435419259
2024,1.3716551843387248,0.04798085592832562,0.027876029444851416,0.004220290177439546
2025,1.3995312137835763,0.04936536161273973,0.027876029444851416,0.004454796270183297
2026,1.4274072432284277,0.05108786689159227,0.027876029444851416,0.004696431768904589
2027,1.4552832726732792,0.05317790865949533,0.027876029444851416,0.004944151477777006
2028,1.4831593021181306,0.055658448524693704,0.027876029444851416,0.0051970854557649715
2029,1.511035331562982,0.05854557286478679,0.027876029444851416,0.00545450836995728
2030,1.5389113610078335,0.06184884390219511,0.027876029444851416,0.00571581374831574
2031,1.566787390452685,0.06557214086664093,0.027876029444851416,0.005980492703534336
2032,1.5946634198975365,0.06971477532037484,0.027876029444851416,0.006248116522017703
2033,1.622539449342388,0.07427267474470256,0.027876029444851416,0.006518322490678469
2034,1.6504154787872394,0.07923948074779405,0.027876029444851416,0.00679080238531132
2035,1.6782915082320908,0.08460747361282497,0.027876029444851416,0.0070652931223202636
2036,1.7061675376769423,0.09036829183530473,0.027876029444851416,0.007341569157636065
2037,1.7340435671217937,0.09651345427355686,0.027876029444851416,0.0076194362923047805
2038,1.7619195965666452,0.10303471340302126,0.027876029444851416,0.007898726609569435
2039,1.7897956260114967,0.10992427538008984,0.027876029444851416,0.008179294322680919
2040,1.8176716554563481,0.11717492151434197,0.027876029444851416,0.008461012357008548
