time,HadCRUT5,NOAAGlobalTemp,BerkeleyEarth,ClimTrace_GMST,HadCRUT5_1sigma,ClimTrace_GMST_1sigma
1850,-0.07285155288803705,0.0429721930342963,-0.18471192085459262,-0.07153042690277778,0.07654845381526104,0.08133206537343612
1851,0.11151003511196295,0.14765352636762963,-0.06979525418792595,0.06312276909722221,0.07966002521195893,0.08133206537343612
1852,0.11546077248696296,0.18487010970096296,-0.04129525418792595,0.08634520933333333,0.08031385765283355,0.08133206537343612
1853,0.0745053985286296,0.12999085970096294,-0.04354525418792595,0.05365033468055552,0.07124270548862115,0.08133206537343612
1854,0.053338993778629606,0.1700854430342963,-0.032378587521259286,0.06368194976388887,0.06300341588576527,0.08133206537343612
1855,0.04794308461196294,0.15691035970096295,-0.027295254187925954,0.059186063374999986,0.06354396251673361,0.08133206537343612
1856,0.02450612744529627,0.08834860970096296,-0.1453785875212593,-0.01084128345833336,0.0659257072735386,0.08133206537343612
1857,-0.12237020288803706,0.04221669303429629,-0.2868785875212593,-0.12234403245833335,0.06652927710843372,0.08133206537343612
1858,-0.04390584288803706,0.053122943034296294,-0.08321192085459261,-0.024664940236111137,0.06609565372601515,0.08161457675567337
1859,0.06359466877862961,0.18323460970096295,0.02870474581207406,0.09184467476388887,0.06365714859437752,0.08189708813791059
1860,-0.045305337888037055,0.00418510970096297,-0.1271285875212593,-0.05608293856944446,0.06640402721999107,0.08217959952014783
1861,-0.08425309588803705,-0.049044473632370376,-0.20454525418792593,-0.11261427456944446,0.07491659080767514,0.08246211090238507
1862,-0.19150952038803704,-0.11407514029903704,-0.303045254187926,-0.20287663829166666,0.07464996653279786,0.08274462228462232
1863,0.0006157629452962776,0.027831193034296296,-0.061795254187925946,-0.011116099402777793,0.0846910642570281,0.08302713366685954
1864,-0.12060524455470371,0.03320502636762961,-0.09429525418792595,-0.06056515745833335,0.08149395805443997,0.08330964504909678
1865,0.012378502945296284,0.1511254430342963,-0.00037858752125927847,0.054375119486111095,0.08566513163766175,0.08739420196629517
1866,0.0035723419452962785,0.1334719430342963,0.03995474581207406,0.05899967693055554,0.08055037037037037,0.08238685529640949
1867,-0.012134277054703711,0.04605277636762963,0.08453807914540738,0.03948552615277776,0.08747393128067828,0.0891679337683929
1868,-0.006967316388037059,0.0988711930342963,0.040454745812074054,0.044119540819444435,0.07927333779562694,0.08113873208331056
1869,0.028267884611962946,0.17320302636762963,0.03320474581207405,0.07822521893055555,0.07133931057563588,0.0734066004677693
1870,0.01693232169529628,0.07198835970096296,-0.036795254187925945,0.017375142402777766,0.06281657518964748,0.06515484538684986
1871,-0.02370291738803706,0.07862469303429631,-0.07029525418792595,-0.005124492847222241,0.06495778893351181,0.0672216193047917
1872,0.016749255611962943,0.04325694303429629,-0.03379525418792594,0.008736981486111094,0.060267487728692545,0.0627008918274356
1873,0.0035629354452962636,0.041218276367629626,-0.0029619208545926187,0.01393976365277775,0.0585474051762606,0.06104940959338511
1874,-0.02839134872137038,0.007985526367629637,-0.05062858752125928,-0.023678136625000012,0.059746273984828194,0.062200072458943594
1875,-0.03076611038803705,0.019200609700962972,-0.09529525418792595,-0.03562025162500001,0.061764870593485045,0.06414149201770745
1876,-0.07925007538803706,-0.005091723632370371,-0.09854525418792594,-0.060962351069444476,0.0619193395805444,0.06429025099436497
1877,0.24375099969529626,0.35321544303429625,0.2790380791454074,0.2920015072916667,0.05743470548862114,0.05998314057626795
1878,0.3335446465286296,0.35892552636762964,0.3700380791454074,0.35416941734722224,0.053501735832217755,0.05622870704442783
1879,0.04122551544529627,0.0981774430342963,0.01778807914540739,0.052397012541666656,0.05820170905845603,0.0607179602436778
1880,0.029027774611962934,0.060717276367629615,-0.04821192085459262,0.013844376708333312,0.05547472333779562,0.058109179035954736
1881,0.11261431344529628,0.14132194303429627,0.0677880791454074,0.10724144520833333,0.056086327532351626,0.05869333773857046
