,HadCRUT5,NOAAGlobalTemp,BerkeleyEarth,ClimTrace_GMST,HadCRUT5_1sigma,ClimTrace_GMST_1sigma
1950,0.15542221838005174,0.15107931543861827,0.1113266715998573,0.13927606847284243,0.04731600937081659,0.05024083869224324
1951,0.27932293875087655,0.2074046674997807,0.2531769062792981,0.24663483750998513,0.039801994422132975,0.04323813004398208
1952,0.3267445828942515,0.2549082149361823,0.29953774752805024,0.29373018178616134,0.04386012048192771,0.04700050317188122
1953,0.36657510115768627,0.2869219553245876,0.3500980305502825,0.3345316956775188,0.043802035029004906,0.046946303394441766
1954,0.23374230738930782,0.15248057608958893,0.2150121956290855,0.20041169303599407,0.04094265729585007,0.04429038627248837
1955,0.18918228560280395,0.1628198165207682,0.19146992312947242,0.18115734175101486,0.03887551539491298,0.042386823742065385
1956,0.12300295175806643,0.12108533597556088,0.10199788226196704,0.11536205666519811,0.03389560017849174,0.03787147793763759
1957,0.2734553460689136,0.26433456582907294,0.2681023429362313,0.2686307516114059,0.029109189647478804,0.03365534209681561
1958,0.2379998445295974,0.24061340123400443,0.22011324802537757,0.2329088312629931,0.02920214190093708,0.033735770649612654
1959,0.2648805486751964,0.2880537553478218,0.2597039673078591,0.2708794237769591,0.027826383534136544,0.032552185031264294
1960,0.2129568542056061,0.23081443590710424,0.21292656592894746,0.21889928534721925,0.026183836456938864,0.031159756438786913
1961,0.3185793071884008,0.31240090766060796,0.29760347604067466,0.3095278969632278,0.02265955533244087,0.028262918773275192
1962,0.29049764601340616,0.30488560110652313,0.2546409900145268,0.283341412378152,0.023769084560464077,0.02916001561322102
1963,0.31677562743634474,0.31515511230139204,0.2993540277748459,0.31042825583752753,0.02399337751004016,0.02934313027030522
1964,0.1926279265740659,0.2072284405090569,0.17538304275939332,0.19174646994750535,0.01947031236055332,0.025776543467624147
1965,0.18922452472587725,0.20609727158440175,0.19286618063757166,0.19606265898261688,0.021950122713074526,0.027697382851811683
1966,0.15258465596509277,0.16191755806791494,0.17182544358729723,0.1621092192067683,0.022093518518518516,0.027811161253153784
